,record_id,gene_id,gene_name
0,m54313U_201113_175135/305/ccs,NA,NA
1,m54313U_201113_175135/555/ccs,NA,NA
2,m54313U_201113_175135/992/ccs,NA,NA
3,m54313U_201113_175135/1022/ccs,ENSMUSG00000040025,Ythdf2
4,m54313U_201113_175135/1154/ccs,NA,NA
5,m54313U_201113_175135/1173/ccs,NA,NA
6,m54313U_201113_175135/1332/ccs,ENSMUSG00000037933,Bicd2
7,m54313U_201113_175135/1723/ccs,ENSMUSG00000054087,Fbxw28
8,m54313U_201113_175135/1928/ccs,NA,NA
9,m54313U_201113_175135/2337/ccs,ENSMUSG00000020385,Clk4
10,m54313U_201113_175135/2726/ccs,ENSMUSG00000026575,Nme7
11,m54313U_201113_175135/2887/ccs,NA,NA
12,m54313U_201113_175135/66021/ccs,ENSMUSG00000072109,A530040E14Rik
13,m54313U_201113_175135/66087/ccs,NA,NA
14,m54313U_201113_175135/66724/ccs,NA,NA
15,m54313U_201113_175135/67264/ccs,ENSMUSG00000091512,Lamtor3
16,m54313U_201113_175135/68209/ccs,ENSMUSG00000024270,Slc39a6
17,m54313U_201113_175135/68335/ccs,ENSMUSG00000005672,Kit
18,m54313U_201113_175135/131174/ccs,NA,NA
19,m54313U_201113_175135/131360/ccs,NA,NA
20,m54313U_201113_175135/131736/ccs,NA,NA
21,m54313U_201113_175135/131919/ccs,ENSMUSG00000040943,Tet2
22,m54313U_201113_175135/132258/ccs,ENSMUSG00000027547,Sall4
23,m54313U_201113_175135/132374/ccs,ENSMUSG00000045291,E330021D16Rik
24,m54313U_201113_175135/132584/ccs,ENSMUSG00000042557,Sin3a
25,m54313U_201113_175135/133541/ccs,ENSMUSG00000044813,Shb
26,m54313U_201113_175135/133921/ccs,ENSMUSG00000035898,Uba6
27,m54313U_201113_175135/133945/ccs,ENSMUSG00000025986,Slc39a10
28,m54313U_201113_175135/196723/ccs,NA,NA
29,m54313U_201113_175135/196924/ccs,ENSMUSG00000005161,Prdx2
30,m54313U_201113_175135/197150/ccs,ENSMUSG00000031538,Plat
31,m54313U_201113_175135/197268/ccs,NA,NA
32,m54313U_201113_175135/197859/ccs,ENSMUSG00000058291,Zfp68
33,m54313U_201113_175135/198664/ccs,NA,NA
34,m54313U_201113_175135/262179/ccs,ENSMUSG00000022111,Uchl3
35,m54313U_201113_175135/262933/ccs,ENSMUSG00000029701,Rbm28
36,m54313U_201113_175135/263369/ccs,ENSMUSG00000041995,Zbed3
37,m54313U_201113_175135/263760/ccs,ENSMUSG00000070283,Ndufaf3
38,m54313U_201113_175135/263867/ccs,ENSMUSG00000025885,Myo5b
39,m54313U_201113_175135/264187/ccs,ENSMUSG00000041359,Tcl1
40,m54313U_201113_175135/264239/ccs,ENSMUSG00000010721,Lmbr1
41,m54313U_201113_175135/327956/ccs,ENSMUSG00000015755,Tab2
42,m54313U_201113_175135/327998/ccs,NA,NA
43,m54313U_201113_175135/328013/ccs,ENSMUSG00000041571,Selenow
44,m54313U_201113_175135/328475/ccs,NA,NA
45,m54313U_201113_175135/328851/ccs,NA,NA
46,m54313U_201113_175135/328880/ccs,ENSMUSG00000074656,Eif2s2
47,m54313U_201113_175135/329427/ccs,ENSMUSG00000019992,Mtfr2
48,m54313U_201113_175135/329904/ccs,ENSMUSG00000045435,Tmem60
49,m54313U_201113_175135/330123/ccs,ENSMUSG00000060843,Ctnna3
50,m54313U_201113_175135/330210/ccs,NA,NA
51,m54313U_201113_175135/330356/ccs,ENSMUSG00000072889,Nfxl1
52,m54313U_201113_175135/393751/ccs,ENSMUSG00000027227,Sord
53,m54313U_201113_175135/394545/ccs,ENSMUSG00000021285,Ppp1r13b
54,m54313U_201113_175135/394656/ccs,ENSMUSG00000000827,Tpd52l2
55,m54313U_201113_175135/394988/ccs,ENSMUSG00000031697,Orc6
56,m54313U_201113_175135/395771/ccs,ENSMUSG00000050705,2310061I04Rik
57,m54313U_201113_175135/395994/ccs,NA,NA
58,m54313U_201113_175135/459138/ccs,ENSMUSG00000073676,Hspe1
59,m54313U_201113_175135/459327/ccs,ENSMUSG00000090841,Myl6
60,m54313U_201113_175135/459972/ccs,NA,NA
61,m54313U_201113_175135/460623/ccs,NA,NA
62,m54313U_201113_175135/460707/ccs,ENSMUSG00000014905,Dnajb9
63,m54313U_201113_175135/460854/ccs,ENSMUSG00000038022,Mindy4
64,m54313U_201113_175135/524377/ccs,NA,NA
65,m54313U_201113_175135/524377/ccs,NA,NA
66,m54313U_201113_175135/524481/ccs,ENSMUSG00000024290,Rock1
67,m54313U_201113_175135/525595/ccs,NA,NA
68,m54313U_201113_175135/526894/ccs,NA,NA
69,m54313U_201113_175135/527009/ccs,ENSMUSG00000073294,AU022751
70,m54313U_201113_175135/591184/ccs,ENSMUSG00000001166,Oas1c
71,m54313U_201113_175135/591242/ccs,ENSMUSG00000046323,Dppa3
72,m54313U_201113_175135/591477/ccs,ENSMUSG00000026558,Uck2
73,m54313U_201113_175135/592070/ccs,ENSMUSG00000020536,Llgl1
74,m54313U_201113_175135/655480/ccs,NA,NA
75,m54313U_201113_175135/656550/ccs,ENSMUSG00000079562,Maea
76,m54313U_201113_175135/656788/ccs,ENSMUSG00000044627,Swi5
77,m54313U_201113_175135/657095/ccs,ENSMUSG00000085595,Gm16090
78,m54313U_201113_175135/658065/ccs,ENSMUSG00000060093,H4c1
79,m54313U_201113_175135/721464/ccs,ENSMUSG00000028609,Magoh
80,m54313U_201113_175135/721793/ccs,ENSMUSG00000006732,Mettl1
81,m54313U_201113_175135/722032/ccs,ENSMUSG00000062115,Rai1
82,m54313U_201113_175135/722118/ccs,NA,NA
83,m54313U_201113_175135/723579/ccs,ENSMUSG00000027236,Eif3j1
84,m54313U_201113_175135/723580/ccs,NA,NA
85,m54313U_201113_175135/787175/ccs,NA,NA
86,m54313U_201113_175135/787234/ccs,ENSMUSG00000004460,Dnajb11
87,m54313U_201113_175135/787435/ccs,ENSMUSG00000031021,Tmem9b
88,m54313U_201113_175135/787546/ccs,ENSMUSG00000032202,Rab27a
89,m54313U_201113_175135/787570/ccs,NA,NA
90,m54313U_201113_175135/788185/ccs,ENSMUSG00000036611,Eepd1
91,m54313U_201113_175135/788537/ccs,NA,NA
92,m54313U_201113_175135/851998/ccs,ENSMUSG00000103998,Gm38025
93,m54313U_201113_175135/852064/ccs,NA,NA
94,m54313U_201113_175135/852074/ccs,NA,NA
95,m54313U_201113_175135/852376/ccs,ENSMUSG00000040524,Zfp609
96,m54313U_201113_175135/852925/ccs,ENSMUSG00000049588,Ccdc69
97,m54313U_201113_175135/854127/ccs,NA,NA
