,record_id,gene_id,gene_name
0,m54313U_201123_144913/1541/ccs,ENSMUSG00000078521,Aunip
1,m54313U_201123_144913/1975/ccs,ENSMUSG00000004948,Zp3
2,m54313U_201123_144913/2271/ccs,ENSMUSG00000027306,Nusap1
3,m54313U_201123_144913/2685/ccs,ENSMUSG00000026028,Trak2
4,m54313U_201123_144913/66319/ccs,ENSMUSG00000041571,Selenow
5,m54313U_201123_144913/66505/ccs,NA,NA
6,m54313U_201123_144913/67710/ccs,ENSMUSG00000022110,Sucla2
7,m54313U_201123_144913/131756/ccs,ENSMUSG00000026333,Gin1
8,m54313U_201123_144913/132405/ccs,NA,NA
9,m54313U_201123_144913/132730/ccs,ENSMUSG00000036309,Skp1a
10,m54313U_201123_144913/132922/ccs,ENSMUSG00000029322,Plac8
11,m54313U_201123_144913/133667/ccs,ENSMUSG00000042279,H1f8
12,m54313U_201123_144913/197766/ccs,ENSMUSG00000028426,Rad23b
13,m54313U_201123_144913/197800/ccs,ENSMUSG00000021608,Lpcat1
14,m54313U_201123_144913/198766/ccs,NA,NA
15,m54313U_201123_144913/262267/ccs,ENSMUSG00000014905,Dnajb9
16,m54313U_201123_144913/262830/ccs,NA,NA
17,m54313U_201123_144913/263642/ccs,NA,NA
18,m54313U_201123_144913/264208/ccs,ENSMUSG00000064267,Hvcn1
19,m54313U_201123_144913/328118/ccs,ENSMUSG00000062248,Cks2
20,m54313U_201123_144913/329339/ccs,ENSMUSG00000018974,Sart3
21,m54313U_201123_144913/330210/ccs,ENSMUSG00000027276,Jag1
22,m54313U_201123_144913/394303/ccs,NA,NA
23,m54313U_201123_144913/394462/ccs,ENSMUSG00000011267,Zfp296
24,m54313U_201123_144913/395000/ccs,NA,NA
25,m54313U_201123_144913/395209/ccs,ENSMUSG00000008348,Ubc
26,m54313U_201123_144913/395762/ccs,ENSMUSG00000047554,Tmem41b
27,m54313U_201123_144913/395983/ccs,NA,NA
28,m54313U_201123_144913/524989/ccs,ENSMUSG00000027823,Gmps
29,m54313U_201123_144913/525417/ccs,ENSMUSG00000028937,Acot7
30,m54313U_201123_144913/525587/ccs,NA,NA
31,m54313U_201123_144913/526052/ccs,ENSMUSG00000031264,Btk
32,m54313U_201123_144913/526088/ccs,ENSMUSG00000097494,4933406C10Rik
33,m54313U_201123_144913/526724/ccs,ENSMUSG00000037406,Htra4
34,m54313U_201123_144913/590714/ccs,NA,NA
35,m54313U_201123_144913/590960/ccs,NA,NA
36,m54313U_201123_144913/591766/ccs,ENSMUSG00000029621,Arpc1a
37,m54313U_201123_144913/656210/ccs,ENSMUSG00000040945,Rcc2
38,m54313U_201123_144913/721551/ccs,ENSMUSG00000021040,Slirp
39,m54313U_201123_144913/721870/ccs,ENSMUSG00000032518,Rpsa
40,m54313U_201123_144913/722464/ccs,ENSMUSG00000046836,Brox
41,m54313U_201123_144913/787790/ccs,ENSMUSG00000046262,C87977
42,m54313U_201123_144913/787875/ccs,ENSMUSG00000034994,Eef2
43,m54313U_201123_144913/787915/ccs,NA,NA
44,m54313U_201123_144913/788330/ccs,NA,NA
45,m54313U_201123_144913/788801/ccs,NA,NA
46,m54313U_201123_144913/788961/ccs,ENSMUSG00000100484,Gm7133
47,m54313U_201123_144913/852736/ccs,NA,NA
48,m54313U_201123_144913/853085/ccs,ENSMUSG00000039318,Rab3gap2
49,m54313U_201123_144913/853478/ccs,ENSMUSG00000022205,Sub1
50,m54313U_201123_144913/854134/ccs,NA,NA
51,m54313U_201123_144913/918016/ccs,NA,NA
