,record_id,gene_id,gene_name
0,m54313U_200903_184952/227/ccs,ENSMUSG00000074884,Serf2
1,m54313U_200903_184952/1377819/ccs,ENSMUSG00000019370,Calm3
2,m54313U_200903_184952/1572973/ccs,ENSMUSG00000074062,Fbxw16
3,m54313U_200903_184952/2295477/ccs,NA,NA
4,m54313U_200903_184952/2557737/ccs,ENSMUSG00000019899,Lama2
5,m54313U_200903_184952/3343932/ccs,ENSMUSG00000061461,Smim20
6,m54313U_200903_184952/3409853/ccs,ENSMUSG00000057836,Xlr3a
7,m54313U_200903_184952/3868715/ccs,ENSMUSG00000031538,Plat
8,m54313U_200903_184952/5309917/ccs,ENSMUSG00000020912,Krt12
9,m54313U_200903_184952/26151631/ccs,NA,NA
10,m54313U_200903_184952/27854418/ccs,NA,NA
11,m54313U_200903_184952/28180564/ccs,ENSMUSG00000022150,Dab2
12,m54313U_200903_184952/29166102/ccs,ENSMUSG00000047237,Fbxw21
13,m54313U_200903_184952/30016094/ccs,ENSMUSG00000024539,Ptpn2
14,m54313U_200903_184952/30475580/ccs,ENSMUSG00000075002,Ftdc1
15,m54313U_200903_184952/32573578/ccs,ENSMUSG00000030738,Eif3c
16,m54313U_200903_184952/33097331/ccs,ENSMUSG00000040624,Plekhg1
17,m54313U_200903_184952/33423689/ccs,NA,NA
18,m54313U_200903_184952/35586348/ccs,NA,NA
19,m54313U_200903_184952/35652978/ccs,NA,NA
20,m54313U_200903_184952/37880744/ccs,NA,NA
21,m54313U_200903_184952/38666759/ccs,ENSMUSG00000027525,Phactr3
22,m54313U_200903_184952/39453259/ccs,ENSMUSG00000032050,Rdx
23,m54313U_200903_184952/40502765/ccs,NA,NA
24,m54313U_200903_184952/43648011/ccs,ENSMUSG00000022477,Aco2
25,m54313U_200903_184952/44173418/ccs,ENSMUSG00000003531,Dgcr6
26,m54313U_200903_184952/44500724/ccs,NA,NA
27,m54313U_200903_184952/44698311/ccs,NA,NA
28,m54313U_200903_184952/45417157/ccs,NA,NA
29,m54313U_200903_184952/50659575/ccs,NA,NA
30,m54313U_200903_184952/51577456/ccs,ENSMUSG00000039115,Itga9
31,m54313U_200903_184952/51710806/ccs,ENSMUSG00000031931,Ankrd49
32,m54313U_200903_184952/52234042/ccs,NA,NA
33,m54313U_200903_184952/53018991/ccs,ENSMUSG00000022765,Snap29
34,m54313U_200903_184952/53741739/ccs,NA,NA
35,m54313U_200903_184952/56953358/ccs,ENSMUSG00000018727,Cpsf4l
36,m54313U_200903_184952/57346463/ccs,ENSMUSG00000020671,Rab10
37,m54313U_200903_184952/59639056/ccs,NA,NA
38,m54313U_200903_184952/60753632/ccs,ENSMUSG00000020349,Ppp2ca
39,m54313U_200903_184952/60883969/ccs,ENSMUSG00000029223,Uchl1
40,m54313U_200903_184952/61081642/ccs,ENSMUSG00000021814,Anxa7
41,m54313U_200903_184952/61736595/ccs,ENSMUSG00000019505,Ubb
42,m54313U_200903_184952/64881623/ccs,ENSMUSG00000032712,Resf1
43,m54313U_200903_184952/65996182/ccs,NA,NA
44,m54313U_200903_184952/66717376/ccs,NA,NA
45,m54313U_200903_184952/68289832/ccs,ENSMUSG00000038195,Rilp
46,m54313U_200903_184952/68814689/ccs,ENSMUSG00000093674,Rpl41
47,m54313U_200903_184952/68815382/ccs,ENSMUSG00000029686,Cul1
48,m54313U_200903_184952/69403546/ccs,ENSMUSG00000031930,Wwp2
49,m54313U_200903_184952/73073713/ccs,ENSMUSG00000069796,Gm11426
50,m54313U_200903_184952/73075277/ccs,ENSMUSG00000015804,Med28
51,m54313U_200903_184952/9635118/ccs,ENSMUSG00000043909,Trp53bp1
52,m54313U_200903_184952/9700942/ccs,ENSMUSG00000070372,Capza1
53,m54313U_200903_184952/10618266/ccs,ENSMUSG00000022285,Ywhaz
54,m54313U_200903_184952/74907939/ccs,NA,NA
55,m54313U_200903_184952/76284245/ccs,ENSMUSG00000073705,Cenps
56,m54313U_200903_184952/76613631/ccs,NA,NA
57,m54313U_200903_184952/76677653/ccs,ENSMUSG00000041431,Ccnb1
58,m54313U_200903_184952/77006570/ccs,NA,NA
59,m54313U_200903_184952/77268920/ccs,NA,NA
60,m54313U_200903_184952/77333356/ccs,ENSMUSG00000028678,Kif2c
61,m54313U_200903_184952/77792899/ccs,ENSMUSG00000031320,Rps4x
62,m54313U_200903_184952/78512564/ccs,ENSMUSG00000018238,Gdf9
63,m54313U_200903_184952/78708973/ccs,NA,NA
64,m54313U_200903_184952/80281706/ccs,ENSMUSG00000029465,Arpc3
65,m54313U_200903_184952/80413185/ccs,ENSMUSG00000032352,Lrrc1
66,m54313U_200903_184952/82642035/ccs,NA,NA
67,m54313U_200903_184952/83888666/ccs,NA,NA
68,m54313U_200903_184952/84019951/ccs,ENSMUSG00000027445,Cst9
69,m54313U_200903_184952/84019951/ccs,NA,NA
70,m54313U_200903_184952/84478291/ccs,ENSMUSG00000021466,Ptch1
71,m54313U_200903_184952/87032081/ccs,ENSMUSG00000111194,Gm47180
72,m54313U_200903_184952/88015970/ccs,NA,NA
73,m54313U_200903_184952/89327268/ccs,ENSMUSG00000041958,Pigs
74,m54313U_200903_184952/89327621/ccs,ENSMUSG00000036309,Skp1a
75,m54313U_200903_184952/89392134/ccs,NA,NA
76,m54313U_200903_184952/93455301/ccs,ENSMUSG00000034620,Rxylt1
77,m54313U_200903_184952/93585803/ccs,NA,NA
78,m54313U_200903_184952/96600448/ccs,NA,NA
79,m54313U_200903_184952/96733669/ccs,ENSMUSG00000110391,Gm7269
80,m54313U_200903_184952/96798132/ccs,NA,NA
81,m54313U_200903_184952/97386783/ccs,ENSMUSG00000001642,Akr1b3
82,m54313U_200903_184952/98829034/ccs,ENSMUSG00000021125,Arg2
83,m54313U_200903_184952/12058980/ccs,ENSMUSG00000063972,Nr6a1
84,m54313U_200903_184952/99812855/ccs,NA,NA
85,m54313U_200903_184952/100073781/ccs,ENSMUSG00000029322,Plac8
86,m54313U_200903_184952/102435548/ccs,ENSMUSG00000036752,Tubb4b
87,m54313U_200903_184952/102894406/ccs,ENSMUSG00000074060,Fbxw15
88,m54313U_200903_184952/103352279/ccs,ENSMUSG00000053293,Pom121
89,m54313U_200903_184952/104793820/ccs,ENSMUSG00000031590,Frg1
90,m54313U_200903_184952/105120244/ccs,ENSMUSG00000028906,Epb41
91,m54313U_200903_184952/105383345/ccs,ENSMUSG00000024387,Csnk2b
92,m54313U_200903_184952/106103806/ccs,ENSMUSG00000047710,Champ1
93,m54313U_200903_184952/107874479/ccs,ENSMUSG00000055933,Oosp3
94,m54313U_200903_184952/108593950/ccs,ENSMUSG00000021496,Pcbd2
95,m54313U_200903_184952/108857492/ccs,NA,NA
96,m54313U_200903_184952/109052394/ccs,NA,NA
97,m54313U_200903_184952/115081596/ccs,ENSMUSG00000028252,Ccnc
98,m54313U_200903_184952/116591168/ccs,ENSMUSG00000038587,Akap12
99,m54313U_200903_184952/117507136/ccs,ENSMUSG00000030451,Herc2
100,m54313U_200903_184952/117769583/ccs,ENSMUSG00000066000,Zfp979
101,m54313U_200903_184952/119736906/ccs,ENSMUSG00000000365,Rnf17
102,m54313U_200903_184952/119932988/ccs,ENSMUSG00000001674,Ddx18
103,m54313U_200903_184952/120979928/ccs,ENSMUSG00000037958,Nsrp1
104,m54313U_200903_184952/121111595/ccs,ENSMUSG00000020687,Cdc27
105,m54313U_200903_184952/121374520/ccs,ENSMUSG00000067367,Lyar
106,m54313U_200903_184952/123930847/ccs,ENSMUSG00000085793,Lin52
107,m54313U_200903_184952/124127755/ccs,ENSMUSG00000020664,Dld
108,m54313U_200903_184952/124258177/ccs,ENSMUSG00000022136,Dnajc3
109,m54313U_200903_184952/14682570/ccs,ENSMUSG00000020349,Ppp2ca
110,m54313U_200903_184952/15141102/ccs,NA,NA
111,m54313U_200903_184952/15272254/ccs,NA,NA
112,m54313U_200903_184952/126223129/ccs,NA,NA
113,m54313U_200903_184952/127206989/ccs,ENSMUSG00000042032,Mat2b
114,m54313U_200903_184952/127666431/ccs,ENSMUSG00000022890,Atp5j
115,m54313U_200903_184952/128451549/ccs,ENSMUSG00000021009,Ptpn21
116,m54313U_200903_184952/129239421/ccs,ENSMUSG00000026933,Camsap1
117,m54313U_200903_184952/130811532/ccs,ENSMUSG00000058291,Zfp68
118,m54313U_200903_184952/132056461/ccs,ENSMUSG00000022231,Sema5a
119,m54313U_200903_184952/134086872/ccs,ENSMUSG00000029632,Ndufa4
120,m54313U_200903_184952/134875007/ccs,ENSMUSG00000029790,Cep41
121,m54313U_200903_184952/135201147/ccs,NA,NA
122,m54313U_200903_184952/135269102/ccs,NA,NA
123,m54313U_200903_184952/138412796/ccs,ENSMUSG00000074354,Arhgap20os
124,m54313U_200903_184952/138479921/ccs,ENSMUSG00000056124,B4galt6
125,m54313U_200903_184952/138611178/ccs,ENSMUSG00000041408,Wapl
126,m54313U_200903_184952/139919725/ccs,NA,NA
127,m54313U_200903_184952/139985741/ccs,ENSMUSG00000022234,Cct5
128,m54313U_200903_184952/140380861/ccs,ENSMUSG00000030279,C2cd5
129,m54313U_200903_184952/141953079/ccs,ENSMUSG00000060733,Ipmk
130,m54313U_200903_184952/143395119/ccs,ENSMUSG00000071708,Sms
131,m54313U_200903_184952/146998023/ccs,ENSMUSG00000015619,Gata3
132,m54313U_200903_184952/147458416/ccs,ENSMUSG00000004948,Zp3
133,m54313U_200903_184952/147523235/ccs,ENSMUSG00000027364,Usp50
134,m54313U_200903_184952/149094589/ccs,ENSMUSG00000028952,Zbtb48
135,m54313U_200903_184952/149424138/ccs,ENSMUSG00000017716,Birc5
136,m54313U_200903_184952/149883689/ccs,ENSMUSG00000025393,Atp5b
137,m54313U_200903_184952/150470799/ccs,NA,NA
138,m54313U_200903_184952/151062765/ccs,ENSMUSG00000029416,Slc15a4
139,m54313U_200903_184952/16516307/ccs,NA,NA
140,m54313U_200903_184952/155584044/ccs,ENSMUSG00000073377,AU016765
141,m54313U_200903_184952/156109086/ccs,ENSMUSG00000041124,Msantd4
142,m54313U_200903_184952/159122257/ccs,ENSMUSG00000020024,Cep83
143,m54313U_200903_184952/161874333/ccs,ENSMUSG00000084786,Ubl5
144,m54313U_200903_184952/165283161/ccs,ENSMUSG00000026999,Nup35
145,m54313U_200903_184952/165937364/ccs,ENSMUSG00000058589,Anks1b
146,m54313U_200903_184952/170854273/ccs,ENSMUSG00000031910,Has3
147,m54313U_200903_184952/171116961/ccs,NA,NA
148,m54313U_200903_184952/174524381/ccs,ENSMUSG00000014867,Surf4
149,m54313U_200903_184952/175047141/ccs,ENSMUSG00000030744,Rps3
150,m54313U_200903_184952/175441298/ccs,ENSMUSG00000042650,Alkbh5
151,m54313U_200903_184952/176032268/ccs,ENSMUSG00000048832,Vps37c
152,m54313U_200903_184952/178719340/ccs,ENSMUSG00000032050,Rdx
153,m54313U_200903_184952/19662162/ccs,NA,NA
154,m54313U_200903_184952/24250395/ccs,NA,NA
