,record_id,gene_id,gene_name
0,m54313U_200903_184952/527012/ccs,ENSMUSG00000015943,Bola1
1,m54313U_200903_184952/787081/ccs,ENSMUSG00000039384,Dusp10
2,m54313U_200903_184952/919089/ccs,ENSMUSG00000028479,Gne
3,m54313U_200903_184952/1379142/ccs,ENSMUSG00000094638,Gm21972
4,m54313U_200903_184952/2688694/ccs,ENSMUSG00000042032,Mat2b
5,m54313U_200903_184952/3540132/ccs,ENSMUSG00000027133,Nop10
6,m54313U_200903_184952/3671001/ccs,NA,NA
7,m54313U_200903_184952/3999922/ccs,ENSMUSG00000029330,Cds1
8,m54313U_200903_184952/25824078/ccs,NA,NA
9,m54313U_200903_184952/26281972/ccs,ENSMUSG00000018238,Gdf9
10,m54313U_200903_184952/26478062/ccs,ENSMUSG00000020745,Pafah1b1
11,m54313U_200903_184952/26478119/ccs,ENSMUSG00000036992,Nxt1
12,m54313U_200903_184952/26741509/ccs,ENSMUSG00000062397,Zfp706
13,m54313U_200903_184952/28641292/ccs,NA,NA
14,m54313U_200903_184952/28771000/ccs,ENSMUSG00000046323,Dppa3
15,m54313U_200903_184952/29820995/ccs,ENSMUSG00000006390,Elovl1
16,m54313U_200903_184952/30605534/ccs,ENSMUSG00000035530,Eif1
17,m54313U_200903_184952/31591026/ccs,ENSMUSG00000038925,E330034G19Rik
18,m54313U_200903_184952/31983509/ccs,ENSMUSG00000015672,Mrpl32
19,m54313U_200903_184952/32244391/ccs,NA,NA
20,m54313U_200903_184952/32246233/ccs,ENSMUSG00000021493,Pdlim7
21,m54313U_200903_184952/33097350/ccs,ENSMUSG00000030788,Rnf141
22,m54313U_200903_184952/33358437/ccs,ENSMUSG00000067194,Eif1ax
23,m54313U_200903_184952/33620865/ccs,NA,NA
24,m54313U_200903_184952/34406875/ccs,NA,NA
25,m54313U_200903_184952/34605313/ccs,ENSMUSG00000027088,Phospho2
26,m54313U_200903_184952/34670764/ccs,NA,NA
27,m54313U_200903_184952/34931323/ccs,NA,NA
28,m54313U_200903_184952/37619527/ccs,ENSMUSG00000021540,Smad5
29,m54313U_200903_184952/38339523/ccs,ENSMUSG00000028541,B4galt2
30,m54313U_200903_184952/38799322/ccs,NA,NA
31,m54313U_200903_184952/38799322/ccs,NA,NA
32,m54313U_200903_184952/39911760/ccs,ENSMUSG00000037742,Eef1a1
33,m54313U_200903_184952/40304944/ccs,NA,NA
