,record_id,gene_id,gene_name
0,m54313U_201124_160408/132289/ccs,NA,NA
1,m54313U_201124_160408/394165/ccs,ENSMUSG00000003604,Aven
2,m54313U_201124_160408/461348/ccs,NA,NA
3,m54313U_201124_160408/592067/ccs,NA,NA
4,m54313U_201124_160408/658141/ccs,ENSMUSG00000116590,AC154200.1
5,m54313U_201124_160408/722101/ccs,ENSMUSG00000019494,Cops6
6,m54313U_201124_160408/852750/ccs,ENSMUSG00000039242,B3galnt2
7,m54313U_201124_160408/853384/ccs,ENSMUSG00000018238,Gdf9
8,m54313U_201124_160408/918072/ccs,ENSMUSG00000023021,Cers5
9,m54313U_201124_160408/918940/ccs,ENSMUSG00000006398,Cdc20
10,m54313U_201124_160408/1050910/ccs,ENSMUSG00000032050,Rdx
11,m54313U_201124_160408/1312732/ccs,NA,NA
12,m54313U_201124_160408/1377771/ccs,ENSMUSG00000031843,Mphosph6
13,m54313U_201124_160408/1378339/ccs,ENSMUSG00000069539,Scyl2
14,m54313U_201124_160408/1443218/ccs,ENSMUSG00000029405,G3bp2
15,m54313U_201124_160408/1443218/ccs,NA,NA
16,m54313U_201124_160408/1574213/ccs,NA,NA
17,m54313U_201124_160408/1704346/ccs,NA,NA
18,m54313U_201124_160408/1705146/ccs,ENSMUSG00000031783,Polr2c
19,m54313U_201124_160408/1967144/ccs,ENSMUSG00000059218,Gm13084
20,m54313U_201124_160408/2032882/ccs,ENSMUSG00000019505,Ubb
21,m54313U_201124_160408/2163638/ccs,NA,NA
22,m54313U_201124_160408/2231077/ccs,NA,NA
23,m54313U_201124_160408/2426832/ccs,ENSMUSG00000030801,Kat8
24,m54313U_201124_160408/2754967/ccs,NA,NA
25,m54313U_201124_160408/2949652/ccs,ENSMUSG00000086462,Gm13990
26,m54313U_201124_160408/2950005/ccs,ENSMUSG00000043535,Setx
27,m54313U_201124_160408/2951200/ccs,NA,NA
28,m54313U_201124_160408/2951757/ccs,ENSMUSG00000021395,Spin1
29,m54313U_201124_160408/3015638/ccs,NA,NA
30,m54313U_201124_160408/3015788/ccs,ENSMUSG00000037536,Fbxo34
31,m54313U_201124_160408/3017375/ccs,ENSMUSG00000032869,Psmf1
32,m54313U_201124_160408/3277213/ccs,ENSMUSG00000015994,Fnta
33,m54313U_201124_160408/3475925/ccs,ENSMUSG00000002635,Pdcd2l
34,m54313U_201124_160408/3540041/ccs,ENSMUSG00000030714,Sgf29
35,m54313U_201124_160408/3605481/ccs,NA,NA
36,m54313U_201124_160408/3802379/ccs,NA,NA
37,m54313U_201124_160408/3867701/ccs,NA,NA
38,m54313U_201124_160408/3867955/ccs,NA,NA
39,m54313U_201124_160408/4065635/ccs,ENSMUSG00000032908,Sgpp2
40,m54313U_201124_160408/4262030/ccs,NA,NA
41,m54313U_201124_160408/4326520/ccs,ENSMUSG00000036860,Mrpl55
42,m54313U_201124_160408/4458581/ccs,ENSMUSG00000031586,Rbpms
43,m54313U_201124_160408/4523555/ccs,ENSMUSG00000001150,Mcm3ap
44,m54313U_201124_160408/4720575/ccs,ENSMUSG00000030246,Ldhb
45,m54313U_201124_160408/4784739/ccs,ENSMUSG00000035632,Cnot3
46,m54313U_201124_160408/4786281/ccs,NA,NA
47,m54313U_201124_160408/4983632/ccs,ENSMUSG00000022769,Sdf2l1
48,m54313U_201124_160408/5113261/ccs,NA,NA
49,m54313U_201124_160408/5244217/ccs,ENSMUSG00000045291,E330021D16Rik
50,m54313U_201124_160408/5245015/ccs,NA,NA
51,m54313U_201124_160408/5375159/ccs,NA,NA
52,m54313U_201124_160408/5704193/ccs,ENSMUSG00000044700,Tmem201
53,m54313U_201124_160408/5768624/ccs,ENSMUSG00000040640,Erc2
54,m54313U_201124_160408/5769094/ccs,ENSMUSG00000029390,Tmed2
55,m54313U_201124_160408/5769695/ccs,ENSMUSG00000002833,Hdgfl2
56,m54313U_201124_160408/6095584/ccs,ENSMUSG00000000732,Icosl
57,m54313U_201124_160408/6096108/ccs,ENSMUSG00000028969,Cdk5
58,m54313U_201124_160408/6096344/ccs,ENSMUSG00000021958,Pinx1
59,m54313U_201124_160408/6097093/ccs,ENSMUSG00000003309,Ap1m2
60,m54313U_201124_160408/6161300/ccs,ENSMUSG00000014932,Yes1
61,m54313U_201124_160408/6359455/ccs,ENSMUSG00000034190,Chmp7
62,m54313U_201124_160408/6553707/ccs,ENSMUSG00000034640,Tiparp
63,m54313U_201124_160408/6555614/ccs,ENSMUSG00000028937,Acot7
64,m54313U_201124_160408/6687450/ccs,ENSMUSG00000022014,Epsti1
65,m54313U_201124_160408/6883352/ccs,ENSMUSG00000115463,Gm49356
66,m54313U_201124_160408/7471964/ccs,ENSMUSG00000027547,Sall4
67,m54313U_201124_160408/7735583/ccs,ENSMUSG00000032030,Cul5
68,m54313U_201124_160408/8062954/ccs,ENSMUSG00000039159,Ube2h
69,m54313U_201124_160408/8193666/ccs,NA,NA
70,m54313U_201124_160408/8193972/ccs,NA,NA
71,m54313U_201124_160408/8390750/ccs,ENSMUSG00000027306,Nusap1
72,m54313U_201124_160408/8456017/ccs,ENSMUSG00000029250,Polr2b
73,m54313U_201124_160408/8587433/ccs,ENSMUSG00000035722,Abca7
74,m54313U_201124_160408/8718494/ccs,ENSMUSG00000028960,Ube4b
75,m54313U_201124_160408/8979229/ccs,NA,NA
76,m54313U_201124_160408/8981306/ccs,NA,NA
77,m54313U_201124_160408/9044376/ccs,NA,NA
78,m54313U_201124_160408/9044752/ccs,ENSMUSG00000059495,Arhgef12
79,m54313U_201124_160408/9111461/ccs,ENSMUSG00000016559,H3f3b
80,m54313U_201124_160408/9177412/ccs,NA,NA
81,m54313U_201124_160408/9240967/ccs,ENSMUSG00000067367,Lyar
82,m54313U_201124_160408/9242489/ccs,ENSMUSG00000054310,Obox1
83,m54313U_201124_160408/9372121/ccs,ENSMUSG00000041870,Ankrd13a
84,m54313U_201124_160408/9438286/ccs,ENSMUSG00000007815,Rhoa
85,m54313U_201124_160408/9569936/ccs,ENSMUSG00000045210,Vcpip1
86,m54313U_201124_160408/9765906/ccs,ENSMUSG00000025228,Actr1a
87,m54313U_201124_160408/9962653/ccs,ENSMUSG00000022961,Son
88,m54313U_201124_160408/10093511/ccs,ENSMUSG00000002308,Cd320
89,m54313U_201124_160408/10094595/ccs,ENSMUSG00000006024,Napa
90,m54313U_201124_160408/10094882/ccs,ENSMUSG00000029458,Brap
91,m54313U_201124_160408/10224816/ccs,ENSMUSG00000006498,Ptbp1
92,m54313U_201124_160408/10355095/ccs,ENSMUSG00000027706,Sec62
93,m54313U_201124_160408/10355623/ccs,ENSMUSG00000059070,Rpl18
94,m54313U_201124_160408/10420678/ccs,ENSMUSG00000030056,Isy1
95,m54313U_201124_160408/10488431/ccs,ENSMUSG00000038388,Mpp6
96,m54313U_201124_160408/10617303/ccs,ENSMUSG00000021660,Btf3
97,m54313U_201124_160408/10619273/ccs,ENSMUSG00000020024,Cep83
98,m54313U_201124_160408/10749899/ccs,ENSMUSG00000023909,Paqr4
99,m54313U_201124_160408/10816041/ccs,NA,NA
100,m54313U_201124_160408/10816255/ccs,ENSMUSG00000015970,Chdh
101,m54313U_201124_160408/11143493/ccs,ENSMUSG00000061689,Dlgap4
102,m54313U_201124_160408/11208575/ccs,ENSMUSG00000051391,Ywhag
103,m54313U_201124_160408/11275022/ccs,NA,NA
104,m54313U_201124_160408/11340597/ccs,NA,NA
105,m54313U_201124_160408/11797464/ccs,NA,NA
106,m54313U_201124_160408/11797482/ccs,ENSMUSG00000098284,A330093E20Rik
107,m54313U_201124_160408/11928880/ccs,ENSMUSG00000039275,Foxk2
108,m54313U_201124_160408/11994245/ccs,ENSMUSG00000039100,Marchf6
109,m54313U_201124_160408/11995980/ccs,ENSMUSG00000030494,Rhpn2
110,m54313U_201124_160408/12256064/ccs,ENSMUSG00000046434,Hnrnpa1
111,m54313U_201124_160408/12386697/ccs,NA,NA
112,m54313U_201124_160408/12517749/ccs,ENSMUSG00000043411,Usp48
113,m54313U_201124_160408/12519897/ccs,NA,NA
114,m54313U_201124_160408/12779754/ccs,ENSMUSG00000003429,Rps11
115,m54313U_201124_160408/12782081/ccs,ENSMUSG00000034832,Tet3
116,m54313U_201124_160408/13043579/ccs,ENSMUSG00000029687,Ezh2
117,m54313U_201124_160408/13109010/ccs,ENSMUSG00000020105,Lrig3
118,m54313U_201124_160408/13175569/ccs,ENSMUSG00000079658,Eloc
119,m54313U_201124_160408/13436773/ccs,ENSMUSG00000032191,Bcl2l10
120,m54313U_201124_160408/13567051/ccs,ENSMUSG00000022477,Aco2
121,m54313U_201124_160408/13567956/ccs,ENSMUSG00000041765,Ubac2
122,m54313U_201124_160408/13631585/ccs,ENSMUSG00000019505,Ubb
123,m54313U_201124_160408/13631585/ccs,NA,NA
124,m54313U_201124_160408/13698658/ccs,ENSMUSG00000035441,Myo1d
125,m54313U_201124_160408/13762971/ccs,ENSMUSG00000053253,Ndfip2
126,m54313U_201124_160408/13829319/ccs,ENSMUSG00000038121,Fam210a
127,m54313U_201124_160408/13895538/ccs,ENSMUSG00000074476,Spc24
128,m54313U_201124_160408/14027209/ccs,ENSMUSG00000032786,Alas1
129,m54313U_201124_160408/14289690/ccs,NA,NA
130,m54313U_201124_160408/14355244/ccs,ENSMUSG00000026750,Psmb7
131,m54313U_201124_160408/14484118/ccs,ENSMUSG00000028960,Ube4b
